status,RT
1,1.191
1,0.83
1,0.83
1,0.919
1,0.88
1,0.846
1,0.951
0,1.245
1,1.116
0,1.253
1,0.84
0,1.223
1,1.068
0,1.373
1,1.112
1,0.987
0,1.42
1,1.02
1,0.976
1,0.854
1,0.943
1,0.971
1,1.138
1,1.042
0,1.557
1,1.151
1,1.276
1,1.578
1,1.409
1,1.492
1,1.131
1,1.212
0,1.177
1,1.173
0,1.116
0,1.203
0,1.228
1,1.418
0,1.858
1,1.096
1,0.858
1,0.853
1,0.807
1,1.178
0,1.7
1,0.873
1,1.562
1,1.302
1,1.657
1,1.191
1,1.211
1,1.432
1,1.223
1,1.27
1,0.828
1,1.378
1,0.997
1,0.931
1,1.395
1,0.896
1,1.107
1,1.552
0,1.399
1,1.177
1,0.778
1,1.071
1,0.839
1,0.958
0,1.237
0,1.45
1,0.993
1,1.091
1,1.221
1,0.981
1,1.334
1,1.152
1,1.178
1,0.997
1,1.058
1,1.353
1,0.947
1,0.98
1,1.033
1,0.994
0,1.673
1,1.143
1,1.113
1,1.105
1,0.824
1,1.193
1,1.011
1,1.106
1,1.222
1,0.862
1,1.128
0,1.345
1,1.289
1,1.179
1,1.058
1,1.581
1,1.192
0,1.607
1,1.02
1,1.131
0,1.307
1,0.785
1,0.818
1,1.162
1,0.986
1,0.818
1,1.202
1,0.876
1,1.266
1,0.924
0,1.227
1,1.04
1,0.883
1,0.84
1,1.339
1,0.956
1,1.059
1,1.074
1,1.159
1,1.135
1,0.818
1,1.229
1,1.006
1,0.976
1,1.158
1,0.85
1,1.142
1,0.959
0,1.381
1,0.927
1,1.024
1,0.861
0,1.202
1,1.119
1,0.937
1,0.843
1,0.858
1,0.838
1,1.058
1,1.115
1,0.949
0,1.397
1,1.31
1,0.887
1,1.238
1,0.88
1,1.047
1,0.992
1,1.174
1,1.087
1,1.121
1,1.126
1,1.225
1,0.808
0,1.315
1,0.978
1,0.891
0,1.101
1,1.076
1,0.831
1,0.862
1,1.091
0,1.103
1,0.807
0,1.224
1,0.901
1,1.423
1,1.321
0,1.393
0,1.262
1,1.007
1,0.885
1,0.821
1,0.854
1,1.196
1,0.987
1,1.189
1,0.855
1,1.509
1,0.967
1,1.364
1,0.837
1,1.146
1,1.235
1,0.885
1,0.836
0,1.323
0,1.512
0,1.225
1,0.988
1,1.491
1,1.203
1,1.199
1,0.872
1,1.036
1,0.927
1,0.916
1,1.243
1,1.217
1,0.904
1,1.402
1,1.956
1,0.914
1,1.167
1,1.183
1,0.857
0,1.086
1,1.078
1,1.15
1,1.142
1,0.843
0,1.615
1,0.967
1,1.075
1,0.901
1,0.964
1,0.877
1,0.876
1,1.331
1,0.95
1,1.037
1,1.076
0,1.288
1,0.98
1,1.126
1,0.96
1,1.496
1,0.843
1,1.12
1,1.138
1,1.084
0,1.232
1,1.201
1,1.081
1,0.87
0,1.262
1,1.05
1,1.394
1,1.145
0,1.284
1,1.26
1,1.201
1,0.861
1,1.21
1,1.051
1,1.278
0,1.297
1,0.969
1,1.154
1,1.079
1,0.818
1,1.021
1,1.131
0,1.45
1,1.098
1,1.346
1,1.163
1,0.981
1,1.179
1,0.883
0,1.577
1,1.096
1,1.053
1,0.938
1,1.078
1,0.9
0,1.233
0,1.487
0,1.432
1,1.081
1,1.024
1,0.874
1,1.317
1,1.696
1,0.842
1,1.212
1,0.924
1,0.951
1,1.189
1,1.785
1,1.001
1,1.08
1,1.126
1,1.128
0,1.366
0,1.471
1,1.145
1,1.055
1,0.814
1,1.245
1,0.848
1,0.866
1,0.944
1,1.21
1,1.255
1,1.15
0,1.199
1,0.876
1,1.394
1,1.159
1,1.261
1,0.875
0,1.261
1,0.851
0,1.213
1,1.011
1,1.133
1,1.124
1,0.814
1,1.052
1,0.855
1,1.393
1,2.024
1,0.949
1,0.921
1,0.817
1,1.468
1,0.878
1,1.179
1,1.281
1,1.196
1,0.849
1,1.181
1,0.941
1,1.091
1,1.124
1,1.179
0,1.599
1,1.706
1,0.954
1,1.223
1,0.947
1,0.889
1,0.939
0,1.296
1,1.044
1,1.129
1,0.97
0,1.581
1,1.153
1,0.943
1,1.146
1,0.932
0,1.273
1,1.024
1,1.041
1,1.168
1,1.267
1,1.397
1,1.229
1,1.359
1,1.005
0,1.214
1,1.037
1,1.35
1,1.393
1,1.366
1,1.077
1,1.018
0,1.231
1,1.143
1,1.345
1,1.328
1,1.314
0,1.369
0,1.283
1,1.017
1,0.82
1,1.211
1,0.811
1,1.292
0,1.096
1,1.114
1,1.174
1,0.912
1,1.078
1,0.881
1,0.835
1,0.856
1,1.235
1,1.055
1,1.06
1,1.732
0,1.327
1,1.34
1,1.302
1,1.2
1,0.86
1,1.288
1,1.055
1,1.124
1,1.335
1,1.325
1,1.019
1,1.175
1,0.988
1,0.989
1,0.852
1,1.279
0,1.076
0,1.212
1,0.91
1,1.079
1,2.279
1,0.918
1,1.23
0,1.149
1,1.137
0,1.188
1,0.824
1,1.046
1,0.814
1,0.923
1,0.931
0,1.233
1,1.214
1,1.189
1,0.916
1,0.974
1,1.173
1,1.445
1,1.177
1,1.027
1,1.36
1,1.25
1,0.927
0,1.721
1,0.864
0,1.172
1,0.836
1,0.968
1,1.116
0,1.211
1,0.904
1,1.227
1,1.171
0,1.28
1,1.366
1,1.055
1,0.883
1,1.075
1,1.226
1,1.06
0,1.407
0,1.199
0,1.461
0,1.309
1,1.039
1,1.209
0,1.206
1,0.965
1,1.08
0,1.482
1,0.838
1,1.215
1,0.834
1,1.159
1,0.876
1,1.091
1,1.281
1,1.069
1,0.82
1,1.008
1,1.236
1,0.845
1,1.048
1,0.902
1,0.839
1,0.862
1,1.132
1,1.238
1,1.037
1,1.125
0,1.087
1,0.932
1,1.205
1,1.143
1,0.848
1,1.375
1,1.102
1,1.167
1,1.118
0,1.254
1,0.933
1,0.961
1,1.429
1,0.862
1,0.848
1,0.922
1,0.849
1,1.277
1,1.466
1,0.846
1,1.181
0,1.637
1,1.12
1,0.988
1,1.279
0,1.147
1,1.152
1,1.054
1,1.407
1,1.108
1,1.159
1,0.914
1,0.872
1,1.14
1,1.086
1,1.184
1,0.819
1,1.018
1,1.062
1,1.002
0,1.18
0,1.162
1,0.923
1,1.445
1,1.265
0,1.223
1,1.15
1,0.922
1,0.844
0,1.139
1,1.191
1,0.853
1,1.019
1,0.887
1,1.33
0,1.219
1,0.923
0,1.282
1,1.751
1,1.05
1,1.194
1,0.99
1,1.364
1,0.844
1,0.906
1,1.128
1,0.944
1,0.846
1,0.974
0,1.143
1,1.055
1,0.82
1,1.303
1,0.932
1,1.008
1,1.131
1,1.305
1,0.837
1,1.303
1,1.105
1,0.972
1,1.195
1,1.099
1,0.851
1,1.188
0,1.386
1,0.937
1,1.076
1,1.064
1,1.482
1,0.879
1,1.329
1,0.858
1,1.147
1,0.852
1,0.942
1,1.218
1,1.14
1,0.824
1,1.214
0,1.756
0,1.329
1,1.166
1,1.051
1,0.833
1,0.868
1,1.151
1,1.181
0,1.387
1,0.845
1,0.847
1,0.827
1,1.312
0,1.124
1,1.349
1,1.338
1,1.184
1,0.953
1,0.863
1,1.331
1,1.165
0,1.097
1,1.369
0,1.21
1,0.913
1,1
1,1.034
1,1.02
1,1.001
1,1.248
0,1.464
1,1.004
1,1.082
1,0.945
1,1.368
1,1.088
0,1.462
1,1.41
1,1.228
0,1.243
1,1.139
0,1.204
1,1.051
1,0.852
0,1.535
0,1.339
1,1.071
0,1.186
0,1.138
0,1.251
1,1.263
1,1.116
0,1.416
0,1.333
1,1.13
1,1.152
1,1.026
1,0.947
1,1.085
1,1.031
1,0.836
1,1.017
1,0.98
1,1.006
1,0.88
1,1.24
1,0.85
1,1.141
1,1.401
1,1.504
1,1.184
1,0.903
0,1.3
1,1.01
0,1.057
1,1.279
1,1.171
1,1.08
1,1.822
1,0.999
0,1.221
1,0.971
0,1.386
1,0.818
1,0.965
0,1.258
0,1.534
1,0.911
0,1.256
1,0.913
1,1.238
0,1.467
1,0.808
0,1.382
1,1.251
1,0.821
1,1.276
0,1.301
1,1.223
1,1.184
1,1.012
1,1.015
1,1.666
1,1.148
1,1.189
1,0.936
1,1.041
1,0.905
1,1.112
0,1.252
1,1.044
1,1.344
1,0.808
1,1.346
1,1.463
1,0.812
1,1.102
1,1.31
1,1.166
1,1.309
1,1.091
1,1.029
1,1.155
1,0.861
1,1.029
1,0.913
1,0.922
1,1.118
1,1.202
1,0.932
1,1.157
1,1.19
1,1.111
1,0.835
1,1.201
1,1.429
1,0.951
0,1.403
1,1.134
1,0.957
1,1.589
1,1.497
1,1.198
1,1.063
1,0.836
1,0.851
1,1.218
1,1.201
0,1.471
1,0.854
1,1.293
0,1.745
1,0.87
1,1.434
1,1.452
1,1.068
0,1.317
1,0.825
1,0.827
1,1.24
1,1.112
0,1.247
0,1.22
1,0.867
0,1.359
1,1.105
0,1.198
1,1.076
1,0.877
1,1.018
1,0.829
1,0.837
0,1.201
1,0.972
1,0.824
1,1.268
1,1.107
0,1.436
1,1.247
0,1.524
1,1.26
1,0.957
1,1.523
1,0.889
1,0.944
1,1.691
1,1.295
1,1.057
1,0.82
1,1.439
1,0.847
1,0.948
1,1.05
1,0.973
1,0.951
1,1.047
1,0.856
1,1.022
1,0.861
1,1.388
0,1.177
1,0.837
1,0.81
1,0.824
1,0.995
1,1.15
1,0.826
1,1.038
0,1.224
1,0.89
1,0.865
1,1.135
1,1.261
0,1.18
1,0.881
0,1.293
1,1.267
1,1.175
1,1.131
0,1.219
1,1.063
1,1.362
1,0.794
1,0.824
1,1.043
1,1.176
1,0.991
1,1.224
1,1.158
1,0.843
1,1.226
0,1.441
1,1.189
1,1.149
1,0.993
1,0.909
1,0.849
1,0.852
1,1.02
1,1.093
1,1.17
0,1.28
1,1.244
1,1.039
1,0.94
0,1.446
0,1.595
1,0.928
1,1.271
1,1.083
1,0.857
1,0.974
1,1.161
0,1.16
0,1.498
1,0.896
1,1.019
1,1.035
1,0.961
1,0.987
1,0.85
1,1.029
0,1.135
1,1.079
1,1.063
1,1.168
0,1.265
1,0.854
1,1.404
1,1.335
1,1.234
1,1.322
1,1.045
1,0.822
1,0.878
1,1.16
1,1.326
1,1.092
1,1.172
1,1.193
1,1.044
1,0.816
0,1.291
1,0.996
1,1.185
1,1.103
1,0.869
1,1.073
1,0.844
1,1.127
1,0.982
1,0.858
1,1.016
0,1.189
1,0.981
1,0.992
1,1.381
1,0.943
1,0.995
1,0.792
1,2.288
1,1.357
1,0.885
1,1.318
1,0.912
1,0.965
1,1.077
1,0.864
1,0.865
1,0.993
1,1.299
1,0.868
1,1.117
1,1.057
1,1.161
1,0.982
1,0.873
1,1.054
0,1.48
1,0.942
1,0.872
0,1.336
1,0.859
1,1.206
1,1.056
1,0.998
1,0.906
0,1.242
1,1.291
1,0.856
1,1.154
1,0.839
1,0.992
1,0.811
1,1.35
1,1.397
1,0.962
0,1.847
1,0.821
1,0.948
1,1.151
0,1.175
1,0.937
1,1.181
1,1.133
1,0.848
1,1.188
1,1.019
1,1.11
0,1.351
1,0.905
0,1.194
1,1.355
1,0.865
1,0.878
1,0.856
0,1.768
1,0.848
1,1.292
1,1.094
1,1.001
1,0.877
0,1.141
1,0.84
1,1.107
1,1.268
1,1.237
0,1.227
0,1.439
0,1.343
1,1.216
1,0.849
1,1.265
1,1.324
1,1.2
1,2.091
1,0.957
1,0.855
1,0.848
1,1.182
1,0.807
0,1.292
1,1.201
1,1.241
1,1.332
1,1.463
0,1.177
1,1.166
1,0.855
1,1.145
1,0.832
1,1.032
1,1.132
1,0.948
1,0.965
1,0.888
1,1.484
1,0.864
1,1.167
1,1.093
1,0.845
1,1.257
1,1.093
1,1.04
1,1.041
1,1.261
1,1.028
1,1.079
1,1.301
1,0.989
0,1.478
1,1.173
1,1.28
1,0.964
1,1.55
1,1.038
1,0.846
1,1.023
1,0.868
1,1.245
1,0.988
0,1.469
0,1.331
1,1.218
1,1.069
1,0.97
1,0.916
1,1.143
1,1.144
0,1.244
1,0.818
1,0.885
1,1.118
1,1.17
1,1.039
1,0.956
1,0.881
1,1.783
1,1.195
1,1.134
0,1.33
0,1.243
1,0.905
1,1.222
0,1.227
0,1.094
1,1.21
1,1.083
0,1.256
1,1.079
0,1.513
0,1.576
1,1.145
1,1.116
1,0.972
1,1.167
1,1.13
1,1.231
1,0.927
1,0.914
1,0.996
1,0.927
1,0.844
0,1.258
1,0.945
1,1.235
1,0.816
1,0.958
1,1.002
0,1.168
1,1.345
1,1.248
1,1.404
1,0.975
