status,RT
1,0.858
1,1.205
1,0.957
0,1.158
1,0.851
1,1.085
1,1.297
1,1.333
1,1.061
1,1.022
0,1.181
0,1.163
1,1.053
1,1.211
1,1.208
1,1.115
1,1.292
1,0.924
1,1.44
1,1.011
0,1.722
1,0.934
1,1.065
1,1.115
1,1.167
1,0.948
1,0.845
1,1.421
1,0.828
1,0.871
1,1.042
1,1.297
1,1.087
1,1.119
1,0.86
1,0.834
1,0.989
1,1.233
1,0.978
1,0.898
1,1.214
1,1.028
1,1.182
1,0.947
1,0.998
1,1.25
1,1.392
1,1.135
1,0.948
1,1.062
1,1.115
1,1.075
1,1.374
1,1.246
1,1.367
1,1.034
1,1.017
1,0.849
1,1.147
1,0.987
1,1.225
1,0.9
1,0.826
1,1.367
1,1.23
1,1.096
1,0.807
1,0.811
0,1.262
0,1.343
1,1.025
0,1.27
1,1.084
1,0.832
1,0.902
0,1.426
1,1.012
1,1.266
1,1.08
1,1.127
1,1.092
1,1.432
1,0.931
1,0.851
1,1.02
1,0.934
1,1.242
1,0.877
1,1.27
1,0.878
0,1.514
1,0.814
1,1.08
1,0.798
1,1.4
1,1.072
0,1.292
1,0.953
1,0.935
1,1.278
0,1.844
0,1.36
1,1.295
1,1.008
0,1.232
1,1.117
1,1.057
0,1.299
1,0.982
1,1.1
1,1.158
1,0.885
1,1.119
1,0.901
0,1.18
1,1.308
1,0.979
1,0.906
1,0.995
1,1.05
1,0.969
1,0.988
1,0.957
0,1.447
1,0.813
1,0.846
1,1.253
1,1.196
0,1.318
1,0.85
0,1.067
1,0.991
1,1.139
1,1.18
1,0.92
0,1.194
1,1.17
1,0.91
0,1.477
1,1.041
1,1.024
1,1.158
1,0.852
1,1.408
1,1.448
1,1.038
1,1.353
1,0.818
0,2.285
1,1.484
1,0.961
1,1.01
1,0.954
0,1.787
1,1.267
1,0.986
1,0.955
1,1.006
1,1.243
1,1.113
1,0.929
1,1.178
1,0.957
1,1.32
1,1.166
1,1.221
1,1.086
1,0.872
1,0.886
1,1.136
0,1.422
1,1.371
0,1.293
0,1.126
1,1.258
1,0.811
1,1.226
1,0.994
1,0.88
1,1.065
0,1.416
1,0.893
1,0.815
1,1.103
1,0.991
1,1.116
0,1.314
1,1.446
1,1.003
0,1.384
1,1.581
