status,RT
1,0.97
1,1.287
1,0.831
1,1.449
1,1.183
1,0.893
1,0.984
1,1.182
1,1.135
1,1.075
1,1.021
1,0.782
1,0.893
1,1.104
1,1.167
0,1.109
1,1.152
1,0.963
1,0.955
1,1.102
0,1.518
1,0.936
1,1.102
1,1.217
1,0.861
1,0.931
1,1.024
1,1.008
1,1.516
1,0.988
1,1.412
1,1.078
1,1.068
1,0.954
1,1.253
1,1.072
1,1.127
1,1.145
1,0.849
1,1.33
1,0.874
0,1.466
1,0.9
1,0.828
1,1.231
1,1.195
1,1.548
1,1.103
1,1.059
1,0.89
1,0.979
0,1.438
1,1.29
1,0.846
1,0.834
1,1.134
1,0.872
1,1.386
1,0.814
1,1.058
1,1.193
1,1
1,0.829
1,0.851
1,1.231
0,1.383
1,0.905
0,1.901
1,1.162
1,0.972
1,1.152
1,1.22
1,1.024
1,0.859
1,1.45
1,0.942
0,1.188
0,1.565
1,1.07
0,1.328
1,1.576
0,1.139
1,1.051
0,1.341
1,1.086
1,0.838
1,0.854
0,1.232
1,1.194
1,0.847
1,1.12
1,1.082
0,1.183
1,1.215
1,1.097
0,1.718
1,0.941
1,0.831
1,1.383
1,0.99
1,0.866
0,1.244
1,1.053
1,1
0,1.418
1,1.134
1,1.354
1,1.06
1,1.276
1,1.023
1,0.818
0,1.17
1,1.045
1,1.013
0,1.68
1,1.194
1,0.949
1,0.925
0,1.243
1,0.993
0,1.278
0,1.314
1,1.215
1,0.944
1,0.965
0,1.388
1,0.857
1,1.305
1,1.023
1,1.065
1,1.237
1,1.16
1,1.205
1,0.875
1,1.067
1,1.255
1,0.915
1,1.171
1,1.121
1,1.077
1,1.449
1,0.923
1,1.166
1,0.904
0,1.421
1,0.845
1,0.991
1,1.095
1,0.968
0,1.525
1,1.146
1,1.168
1,1.242
0,1.253
1,1.279
1,1.065
1,0.869
1,0.954
1,0.857
0,1.167
1,1.043
1,1.125
1,1.268
1,0.86
1,0.861
1,0.887
1,1.088
1,1.336
1,0.855
1,1.005
1,1.021
1,0.979
0,1.3
1,0.978
1,0.829
1,1.236
1,1.257
1,1.207
1,0.999
1,0.969
1,1.039
1,1.075
1,1.093
1,1.146
1,1.183
1,1.483
1,1.294
0,1.384
1,0.894
1,1.004
1,1.405
1,0.885
0,1.24
1,1.115
1,0.944
0,1.689
1,0.995
1,0.979
1,1.053
1,1.339
1,0.838
0,1.253
1,1.201
1,1.225
1,0.898
1,1.065
0,1.969
1,0.859
1,1.158
1,0.956
1,0.908
0,1.163
0,1.483
1,1.616
1,0.848
1,1.318
1,1.075
1,0.968
1,1.027
0,1.366
1,0.871
1,1.141
1,0.835
1,1.027
1,1.113
1,0.999
0,2.227
1,1.092
1,0.943
0,1.34
0,1.021
1,1.58
1,0.916
1,0.846
1,0.954
1,0.824
0,1.201
1,1.162
1,1.339
1,1.178
1,1.213
1,1.514
1,0.99
1,0.843
1,1.141
0,1.387
1,0.982
1,0.956
1,0.964
0,1.338
1,1.474
1,0.857
1,1.115
1,0.992
1,1.948
1,1.065
1,1.219
1,1.108
1,1.171
1,0.838
1,0.87
1,1.57
1,1.074
0,1.186
1,1.601
1,1.014
0,1.172
1,1.176
1,1.472
1,1.015
1,1.204
1,1.15
1,1.159
0,1.628
1,1.262
1,1.034
1,0.941
1,0.827
1,1.396
0,1.196
1,1.141
1,0.966
1,1.155
1,1.048
1,1.198
1,1.029
1,0.872
1,0.801
1,0.987
1,1.062
1,1.152
1,0.959
1,0.846
1,0.961
1,1.154
1,0.928
1,1.033
1,1.151
1,0.971
1,0.917
0,1.214
1,0.866
1,0.825
1,0.87
1,0.933
1,1.524
0,1.192
1,1.121
0,1.497
1,0.87
1,1.06
1,1.313
1,1.184
0,1.212
1,1.048
1,0.864
1,1.058
1,1.058
1,1.345
1,0.794
1,1.009
1,0.999
1,0.866
0,1.116
1,1.029
0,1.142
1,1.008
1,1.144
1,1.102
1,1.245
1,1.216
1,1.021
1,1.332
1,1.428
1,0.873
1,1.046
1,1.011
0,1.331
1,0.99
1,0.89
1,1.081
0,1.519
1,1.077
1,1.182
1,1.208
1,0.861
1,1.27
1,1.073
1,1.155
0,1.241
0,1.365
1,0.838
1,0.937
1,0.828
1,0.916
1,1.127
1,0.94
1,0.998
1,1.057
1,1.08
1,1.015
1,0.98
1,0.838
0,1.596
1,1.05
1,1.206
1,0.849
1,1.31
1,0.989
1,1.03
1,1.074
1,0.974
1,0.918
1,1.012
1,1.221
1,0.893
1,2.064
1,0.874
1,0.862
1,0.93
1,1.18
1,1.02
1,1.077
1,1.234
1,1.128
0,1.484
1,1.077
1,0.899
1,1.2
1,0.969
1,1.112
1,0.826
1,1.172
1,0.872
1,1.169
1,1.328
1,1.144
1,1.137
1,1.008
1,1.549
1,0.847
1,1.091
1,0.873
1,1.083
1,0.938
1,1.047
1,1.282
1,0.843
1,1.372
1,0.958
0,1.204
1,0.934
0,1.348
1,1.105
1,0.824
0,1.378
1,1.455
1,1.217
1,1.125
1,1.282
0,1.285
0,1.5
1,1.021
1,1.369
1,0.976
1,1.288
1,1.347
1,1.688
0,1.24
1,0.996
1,1.157
1,0.84
1,1.44
1,1.052
0,1.413
1,1.239
1,0.987
1,1.017
1,0.842
1,0.847
1,1.016
0,1.558
1,1.137
1,0.857
1,0.916
1,1.028
1,1.003
1,1.059
1,0.809
1,1.142
1,1.239
1,1.004
1,1.003
0,1.123
1,1.04
1,1.079
0,1.471
0,1.375
1,0.971
1,1.284
1,0.815
1,1.122
1,1.085
1,1.016
0,1.185
1,0.963
1,0.95
1,0.914
1,1.048
1,1.269
1,1.171
1,0.981
1,1.478
1,1.441
1,1.193
1,0.986
1,0.864
1,1.039
1,0.881
1,0.871
1,1.481
1,0.98
0,1.186
1,1.106
1,0.938
1,0.842
1,0.975
1,1.206
1,1.415
1,0.899
1,0.946
1,1.124
1,0.777
1,1.088
0,1.13
1,1.08
1,1.243
1,0.972
1,1.088
1,1.351
1,1.123
1,1.31
1,1.415
1,1.208
1,0.999
1,1.615
