status,RT
0,0.4870653
0,2.110233
1,1.673785
0,1.8062361
1,1.6060754
1,1.9393965
1,1.4055261
1,0.8404322
1,1.2050177
0,1.2055707
0,1.8051844
0,2.7385757
1,1.9396762
0,1.3055019
1,1.9719742
1,2.50526
1,2.2395599
0,1.8066711
0,1.2388362
0,1.672656
0,2.0728469
1,0.9723155
1,2.9737566
1,2.2060621
0,1.2051901
1,2.3716374
0,1.9068352
0,1.3721012
1,0.7730409
1,1.8396218
1,1.8721532
0,1.7730676
0,1.8398436
1,2.8057323
1,2.4051257
0,1.8390553
1,1.6399342
0,1.6057645
1,1.6720723
0,1.571992
1,1.5054669
0,2.4052724
0,1.0392688
0,2.871796
0,2.8720706
1,2.3382549
1,1.8732225
1,1.1052648
0,2.0391204
1,2.0723186
1,1.1385721
0,1.9719955
1,1.7387141
1,0.9051978
1,0.8715284
0,2.605355
0,2.1049494
0,2.2723263
0,1.5060374
1,1.1395879
1,3.339681
1,3.5381909
1,2.6730051
1,1.0052055
1,2.1054859
1,1.2061808
1,0.7724009
1,1.3725413
1,1.3722033
1,0.8054581
0,0.7728765
1,1.1394794
1,0.9716792
1,1.0394159
1,0.8721047
1,1.1713456
1,0.6379877
1,0.6724267
1,0.505599
0,0.6389336
0,0.6058424
1,1.9398473
1,1.8735952
0,1.672728
0,0.8723789
1,1.5385337
1,1.1721615
1,2.9060153
1,2.1379978
1,1.1718979
1,1.6718566
1,0.9403919
1,1.5720994
1,1.6733536
1,2.1384752
1,1.5728979
1,1.2393156
0,3.0052486
1,1.2734874
1,0.6386357
1,2.0380428
0,1.938717
0,0.9056533
1,1.8392858
0,1.2051669
0,0.5056761
0,0.8722493
1,1.071775
1,2.1060345
1,0.7724699
1,1.27389
0,1.0385919
1,0.9393226
0,2.4715447
1,1.2065255
1,1.8392093
1,2.6055247
1,1.8389267
1,1.7720692
1,0.8381626
0,1.3719672
1,0.772122
0,1.1723089
0,1.672252
1,2.6385963
1,1.60561
1,1.6394065
1,1.3734501
1,0.9720891
1,1.0725095
1,0.8050642
0,1.305244
1,1.1052029
1,1.7390227
1,0.7719999
1,1.072362
0,1.4715266
1,2.8397672
1,1.7047479
1,1.1736574
1,1.0730379
1,0.939069
1,0.8051423
1,0.6387119
0,0.5382319
1,0.6718295
0,1.9051668
0,0.4379866
1,1.7721645
1,2.4719682
1,1.7388997
0,2.3719628
1,0.9715853
0,1.8054411
1,2.1049149
1,1.0399876
1,1.0059463
1,0.772876
1,1.6391958
1,2.1382855
0,1.8388402
1,1.0399017
0,1.238934
0,0.7047382
1,1.1379647
0,2.2055003
1,0.7052754
1,1.5389402
1,0.940001
1,2.5051556
1,1.0383696
1,0.8383137
1,0.5732696
0,0.9391804
1,0.5397478
1,0.738833
1,2.1732375
1,1.5387585
1,1.2731685
1,1.1067591
1,1.105765
0,3.1388661
1,0.6725758
1,0.9046288
0,1.6394436
0,1.1742092
0,1.2078609
1,1.2058119
0,0.7398112
0,1.9054878
1,1.7380461
1,1.171991
0,2.1404361
0,1.704692
0,1.4725439
1,2.4395579
1,3.671497
1,0.8723534
0,3.5058932
0,2.5729829
1,0.8053433
0,1.7728083
1,0.5381746
1,0.8389809
1,1.69636540001375
1,1.27972950000549
1,1.38651809998555
1,1.87430689999019
1,0.646292299992638
1,0.563892799982568
1,0.723191199998837
1,1.3542794000241
1,1.79298500000732
1,0.545870500005549
0,0.675306499993894
0,0.883785100013483
1,0.73066370000015
0,1.23291229997994
1,0.90341680002166
1,1.91141349999816
1,0.830279499990866
0,1.58157859998755
0,1.06880480001564
1,1.41734870002256
1,2.77415750001092
1,0.55205090000527
1,1.32276020001154
1,1.53544760000659
1,0.737408799992409
0,1.2985794999986
1,0.80203070002608
1,1.00129790001665
0,1.11354059999576
0,0.595033399993554
1,0.446452000003774
1,0.501456700003473
0,0.61822669999674
0,0.545945499994559
0,0.324171599990223
1,0.789270399982342
1,0.543047700019088
1,0.926487399992766
1,0.804996700026095
1,0.998149600025499
1,1.02797130000545
1,0.970590800017817
1,0.497011499974178
0,0.651443199982168
1,0.880843199993251
1,0.798864000011235
1,0.513800799992168
1,1.19453290000092
1,0.992683999997098
0,0.986572399997385
1,0.797080099990126
1,0.598559599980945
0,1.37170339998556
1,0.883730699977605
1,1.22792979999213
1,0.662952500017127
0,1.00550950001343
1,0.756452500005253
0,0.977110399981029
1,0.440586199983954
1,0.590941500006011
0,1.29663889997755
1,0.39063239999814
0,0.797125500015682
0,0.353990200004773
1,0.415390999987721
1,0.665369900001679
1,0.469738399988273
1,0.521055200020783
1,1.40879200000199
1,0.954621000011684
1,0.600685200013686
0,0.740922099997988
1,0.571120200009318
1,0.817351900012
1,0.605960500019137
1,0.924769999983255
1,0.900096500001382
1,0.566339499986498
1,0.550629600009415
0,0.793491499993252
0,0.451743600016925
1,0.41749510000227
0,0.812525699991966
1,0.495066000003135
0,1.07654890001868
1,0.407794500002638
1,0.977735399996163
1,0.526591600006213
1,0.943266999995103
1,0.457368700008374
1,0.418784600013169
0,1.50567720000981
1,0.464833600010024
1,1.12333629999193
1,0.927134800003842
1,1.04066589998547
0,1.05442480000784
0,0.896174800000153
0,0.321314500004519
0,0.857071000005817
1,0.498639700002968
1,0.485745300014969
1,0.743224200006807
0,0.926125700003468
1,0.518694600003073
1,0.603422299987869
1,1.84396469997591
1,0.871415200002957
1,0.992664599994896
0,1.07656119999592
0,1.90108169999439
1,1.3084053999919
0,1.63853560001007
1,0.595354299992323
0,0.79541180000524
1,1.09504760001437
1,2.14003470001626
1,1.20099689997733
0,1.28533650000463
0,0.530634900002042
1,0.494245800015051
1,1.49706709999009
1,0.813162199978251
1,0.639569899998605
1,0.658731500006979
1,0.84833300000173
1,0.692051599995466
0,1.23166420002235
0,0.452077499998268
1,0.602654599992093
1,1.78811959997984
1,0.663192599982722
0,1.56614750000881
1,1.13919910002733
1,0.678466500015929
1,0.635880000016186
1,0.528819999977713
1,2.166884700011
1,0.577976500004297
0,1.21725190000143
0,1.83897000001161
1,0.495872300001793
1,1.55787670001155
1,2.06010010000318
1,1.23448450001888
1,0.573360499984119
1,0.873107200022787
0,1.02937569998903
1,0.883143999992171
1,1.81847349999589
1,1.08814800000982
0,0.946844199992483
1,0.963994699995965
1,0.917146299994783
1,0.794555100001162
0,0.54727300000377
0,0.361764500004938
1,0.818956500006607
1,1.44832409999799
1,0.667137100012042
1,0.998336299991934
0,0.95328679998056
0,0.384115399996517
0,0.711176399985561
1,0.51395940000657
1,0.885622900008457
1,0.634765299997525
1,1.0816697999835
1,0.753543500002706
0,1.62147359998198
0,0.901093899999978
1,0.627146700018784
1,0.800387299997965
1,1.26544059999287
1,0.562458200001856
1,1.9394507999823
1,0.468975199997658
1,1.89241800000309
1,0.41817479999736
1,0.943779599998379
1,0.680075000011129
1,0.5422706999816
1,1.09567119998974
1,0.557856400002493
1,0.575008600018919
0,0.77901679999195
0,0.36471779999556
1,0.695429899991723
1,0.730477599980077
0,0.55853599999682
1,0.519306400005007
1,0.511917700001504
0,0.465153700002702
0,0.399739699991187
1,0.473923699988518
1,0.641374099999666
0,0.589332500007004
1,0.342845000006491
1,0.915463200013619
1,0.668079500028398
0,0.640067300002556
0,0.435680399998091
1,2.10667470001499
1,0.6705052999896
1,1.24276180000743
1,1.62271169997985
1,0.948735699988902
0,0.71473419998074
1,1.11629239999456
1,0.924719899980118
1,1.17125169999781
1,0.919516000023577
1,0.911974600021495
1,1.34499739998137
1,1.103173600015
1,1.31655610000598
1,1.24835469998652
1,1.11485469999025
1,1.25821649999125
0,1.34731819998706
1,0.945858199993381
1,0.79390049999347
1,0.691528099996503
1,1.14223570001195
0,1.09713219999685
1,0.958441599999787
1,0.848781700013205
1,0.899913500004914
1,1.06079210000462
1,0.923406799993245
1,0.970804200012935
1,1.33212850001291
1,1.0440615999978
1,1.05595609999727
1,0.977499500004342
0,1.00816199998371
1,0.652490900014527
0,1.08709919999819
1,1.07934650001698
0,1.420111000014
1,0.565334800019627
1,0.862087800021982
0,0.960662899975432
1,0.841924599983031
1,0.984468599985121
1,0.95898599998327
0,0.855773599992972
0,0.813329700002214
0,1.42172680000658
1,0.748816100007389
1,1.16689210000914
0,0.692431000003126
1,1.96814529999392
1,0.718935599987162
0,0.93374850001419
1,1.54529629999888
1,1.05088709999109
1,1.07348810002441
0,1.53767680001329
1,0.96779249998508
1,0.894272900011856
0,1.92303659999743
0,1.71869900001911
1,0.615869100001873
1,1.04223309998633
1,1.1953375999874
1,0.657028400019044
1,0.614243000018178
1,1.00534249999328
1,0.495881999988342
1,0.897049599996535
1,1.02445799999987
1,1.03534709999803
1,0.745348500000546
1,1.06771689999732
1,0.99423179999576
1,0.758224999997765
0,0.587802599999122
1,0.547362699988298
1,0.895520599995507
1,0.732990699994843
0,1.3254507999809
1,1.80715509998845
1,0.660986000002595
1,0.999587999976939
0,1.39181299999473
0,0.599571200000355
1,1.02968089998467
1,2.14124149997951
1,1.02358949999325
0,1.82841069999267
1,0.945090399996843
1,0.845240399998147
1,0.918819800019264
1,1.06449900000007
0,1.88396180002019
1,0.957456200005254
1,0.619512000004761
1,0.978050499979872
1,0.617175099992892
1,0.656924199982313
1,0.839867099974072
0,1.11874939998961
1,0.876322700001765
0,1.26935289998073
1,0.459750600013649
0,0.995699899998726
1,0.667282500013243
1,1.88273290000507
0,1.02776080000331
0,1.37821289998828
1,1.28038680000464
1,1.03489579999587
1,2.53905839999788
0,1.1115051000088
1,0.804555799986701
1,1.75866699998733
0,1.4682472999848
1,1.05970250000246
1,1.80845660000341
0,1.07917569999699
1,1.08344149999903
