num_trial,coh,direction,resp,status,RT,Completed
1,0.256,0,0,1,0.876840999990236,1
2,0.128,0,0,1,1.75304430001415,1
3,0.128,1,1,1,1.24264800001401,1
4,0,1,0,0,1.05736199999228,1
5,0,1,1,1,0.859375100000761,1
6,0.032,1,1,1,1.05812990001868,1
7,0.512,1,1,1,0.426653200003784,1
8,0.128,1,1,1,0.856122900004266,1
9,0.512,0,0,1,0.593592499993974,1
10,0.032,0,0,1,0.807566000003135,1
11,0,1,0,0,0.77642169999308,1
12,0.032,1,1,1,0.880025699996622,1
13,0.032,0,1,0,0.973560700018425,1
14,0.032,1,0,0,0.570044500025688,1
15,0.256,0,0,1,0.725028599990765,1
16,0.064,1,1,1,0.633874100021785,1
17,0.032,1,0,0,0.408239199983655,1
18,0.064,1,1,1,0.463772099989001,1
19,0.032,0,0,1,0.799706199992215,1
20,0.512,0,0,1,0.540305800008355,1
21,0.256,1,1,1,0.585933700000169,1
22,0.512,0,0,1,0.421943099994678,1
23,0.512,0,0,1,0.434913400007645,1
24,0,0,1,0,0.713942800008226,1
25,0.256,1,1,1,0.550835900008678,1
26,0.128,1,0,0,0.467596300004516,1
27,0.032,0,0,1,0.812580800004071,1
28,0.128,0,0,1,0.795104699995136,1
29,0,0,1,0,0.509644200006733,1
30,0.256,1,0,0,0.419046900002286,1
31,0.064,0,1,0,0.999240100005409,1
32,0.064,0,0,1,0.895295199996326,1
33,0,0,0,1,0.842559000011533,1
34,0.064,0,0,1,0.444234800001141,1
35,0,1,0,0,0.509490700002061,1
36,0.128,0,0,1,0.517925600026501,1
37,0.128,0,0,1,0.49504569999408,1
38,0.032,0,0,1,0.719139099994209,1
39,0,0,1,0,0.509482599998591,1
40,0,0,1,0,0.642494500003522,1
41,0.512,0,0,1,0.300884800002677,1
42,0.512,0,0,1,0.404076900013024,1
43,0.128,1,1,1,0.653596800024388,1
44,0.064,1,1,1,0.531686100002844,1
45,0.032,0,1,0,0.427570100000594,1
46,0.512,0,0,1,0.440990800008876,1
47,0.128,0,0,1,0.853618199995253,1
48,0.064,0,1,0,0.623869599978207,1
49,0.256,0,0,1,0.42746750000515,1
50,0.256,1,1,1,0.433179199986625,1
51,0.512,0,0,1,0.360610000003362,1
52,0.128,0,0,1,0.484399500011932,1
53,0,1,0,0,1.13004700001329,1
