num_trial,coh,direction,resp,status,RT,Completed
1,0.064,0,1,0,1.1392253000231,1
2,0.256,0,0,1,0.567675899976166,1
3,0.032,0,1,0,1.51779190002708,1
4,0.032,0,0,1,1.56434330000775,1
5,0.512,1,1,1,0.627087900007609,1
6,0,1,0,0,0.823310700012371,1
7,0.064,1,1,1,1.17801020000479,1
8,0.256,1,1,1,0.844435200007865,1
9,0.128,0,1,0,1.02428099999088,1
10,0,1,1,1,0.965737200021977,1
11,0.032,0,0,1,1.53115310001886,1
12,0.256,1,1,1,0.67544339998858,1
13,0.256,0,0,1,0.694495699979598,1
14,0.128,0,1,0,1.39032949999091,1
15,0.128,1,1,1,1.07002240000293,1
16,0.512,1,1,1,1.21046220001881,1
17,0.064,0,0,1,1.21291169998585,1
18,0.032,1,0,0,1.12584129997413,1
19,0.032,1,1,1,1.65803489999962,1
20,0.512,1,1,1,0.596238500002073,1
21,0.032,1,1,1,1.17826800001785,1
22,0.256,0,0,1,0.757424799987348,1
23,0.512,0,0,1,0.622520999982953,1
24,0.032,0,0,1,0.981442399992375,1
25,0.128,0,1,0,1.54343359998893,1
26,0,1,0,0,1.68195019999985,1
27,0,1,0,0,0.620150200003991,1
28,0,1,1,1,1.65198140000575,1
29,0.064,0,1,0,1.08265279998886,1
30,0,0,0,1,1.65156949998345,1
31,0.128,1,1,1,1.82755170000019,1
32,0.128,1,0,0,1.03352199998335,1
33,0,0,1,0,0.671768300002441,1
34,0,1,1,1,1.42409960000077,1
35,0.512,0,0,1,0.642084799997974,1
36,0.512,0,0,1,0.668942199990852,1
37,0.128,1,1,1,1.40430599998217,1
38,0.128,0,0,1,1.80830569998943,1
39,0.128,0,0,1,0.728456100012409,1
40,0.256,1,1,1,0.908699899999192,1
41,0.064,0,1,0,1.18966619999264,1
42,0.512,1,1,1,0.539974799990887,1
43,0,1,1,1,0.840917300025467,1
44,0.256,0,0,1,0.845387500012293,1
45,0.064,1,1,1,1.69556300001568,1
46,0.032,1,0,0,1.42858490001527,1
47,0.064,1,1,1,0.918772899982287,1
48,0.032,1,0,0,1.74724450000213,1
49,0.256,1,1,1,0.648421899997629,1
50,0,1,0,0,1.48569689999567,1
51,0,1,1,1,1.67551040000399,1
52,0.512,0,0,1,0.748970599990571,1
53,0.128,1,0,0,1.74985439999728,1
54,0.032,1,0,0,1.40524779999396,1
55,0.512,1,1,1,0.691785200004233,1
56,0.064,0,0,1,0.845405900006881,1
57,0.128,1,0,0,0.767198199988343,1
58,0,0,0,1,1.34653179999441,1
59,0.512,0,0,1,0.695355600008043,1
60,0.512,0,0,1,1.11875470000086,1
61,0.064,0,0,1,1.80510359999607,1
62,0.064,0,0,1,1.4263625999738,1
63,0.032,0,0,1,1.34194839998963,1
64,0.512,1,1,1,1.11024609999731,1
65,0,1,0,0,1.23345199998585,1
66,0.032,0,0,1,1.0715522999817,1
67,0.064,1,1,1,1.55525659999694,1
68,0.256,0,0,1,0.922880700003589,1
69,0.128,1,1,1,1.40306009998312,1
70,0.256,1,1,1,1.17206480001914,1
71,0,0,0,1,1.23955249998835,1
72,0.512,0,0,1,0.711973700003,1
73,0.512,0,0,1,0.845052299991949,1
74,0.128,1,1,1,1.13165699999081,1
75,0.256,1,1,1,1.46141759998864,1
76,0.512,0,0,1,0.804629299993394,1
77,0.128,0,0,1,1.15984740000567,1
78,0.032,1,1,1,1.39665989999776,1
79,0.256,1,1,1,1.63513239999884,1
80,0.256,1,1,1,1.4252131000103,1
81,0,0,0,1,2.1626690000121,1
82,0.064,0,0,1,1.32552539999597,1
83,0.032,1,0,0,1.34487229998922,1
84,0.032,1,0,0,0.909837900020648,1
85,0.128,0,0,1,0.758409699978074,1
86,0.032,1,1,1,1.44624820002355,1
87,0.064,0,0,1,1.2204073999892,1
88,0.128,1,1,1,1.29565759998513,1
89,0.256,1,1,1,1.03602949998458,1
90,0.032,0,0,1,1.24133770001936,1
91,0,0,1,0,1.61882370000239,1
92,0.512,1,1,1,0.701113999995869,1
