num_trial,coh,direction,resp,status,RT,Completed
1,0.256,1,1,1,0.777723400009563,1
2,0.512,1,1,1,0.54027880000649,1
3,0.128,1,1,1,0.744836800004123,1
4,0.256,0,0,1,0.46161349999602,1
5,0.128,0,0,1,0.419865000003483,1
6,0.128,1,1,1,0.492904299986549,1
7,0.128,1,1,1,0.838399799977196,1
8,0.032,0,1,0,0.686033500009216,1
9,0,1,0,0,0.679758200014476,1
10,0.064,0,0,1,0.976148699992336,1
11,0,0,0,1,0.477705900004366,1
12,0,0,1,0,0.689274799980922,1
13,0.128,1,1,1,0.647733899997547,1
14,0.256,1,1,1,0.702624400000786,1
15,0,0,1,0,0.841007000009995,1
16,0.064,0,0,1,0.34499740001047,1
17,0.128,1,1,1,0.698830000008456,1
18,0.512,1,1,1,0.495341000001645,1
19,0.128,0,0,1,0.554406000010204,1
20,0,1,1,1,0.49305849999655,1
21,0,1,0,0,0.49201760001597,1
22,0.064,0,1,0,0.429555900016567,1
23,0.032,0,0,1,0.392573799996171,1
24,0.128,1,1,1,0.591223399998853,1
25,0.256,0,1,0,0.597900499997195,1
26,0.512,1,1,1,0.562611200002721,1
27,0.512,0,0,1,0.418084700009786,1
28,0,1,1,1,1.96466150000924,1
29,0.064,1,1,1,0.780201200017473,1
30,0.512,1,1,1,0.526718000008259,1
31,0.512,1,1,1,0.53188080000109,1
32,0.128,0,0,1,0.7317303000018,1
33,0.128,1,1,1,0.651402199990116,1
34,0,0,0,1,0.452460200001951,1
35,0.256,0,0,1,0.509101999981795,1
36,0.512,0,0,1,0.393421599990688,1
37,0.064,0,1,0,0.550958800013177,1
38,0.256,1,1,1,0.520033499982674,1
39,0.512,1,1,1,0.461058400018374,1
40,0.256,0,0,1,0.369144500000402,1
41,0.032,0,0,1,0.723173600010341,1
42,0.128,1,1,1,0.446024500008207,1
43,0.256,0,0,1,0.35544410001603,1
44,0.128,0,0,1,0.641926099982811,1
45,0.256,0,0,1,0.501615200017113,1
46,0.064,1,1,1,0.549454699998023,1
47,0.512,1,1,1,0.440677000005962,1
48,0.032,1,0,0,0.679082700022263,1
