num_trial,coh,direction,resp,status,RT,Completed
1,0.032,0,0,1,0.821315200009849,1
2,0,1,0,0,0.492944700003136,1
3,0.256,0,0,1,0.59661259999848,1
4,0.512,1,1,1,0.539077399997041,1
5,0.064,0,0,1,0.568046900007175,1
6,0,0,1,0,0.782387000013841,1
7,0.512,0,0,1,0.364461899996968,1
8,0.256,0,0,1,0.446809300017776,1
9,0.032,0,0,1,0.400019799999427,1
10,0.032,1,0,0,0.399211600015406,1
11,0.128,1,0,0,0.449337099998957,1
12,0.032,0,1,0,0.434709199995268,1
13,0,1,0,0,0.312979400012409,1
14,0,1,0,0,0.572459799994249,1
15,0.064,1,1,1,0.645481499988819,1
16,0.512,0,0,1,0.477223099995172,1
17,0,0,0,1,0.713940100016771,1
18,0.032,0,1,0,0.603033499995945,1
19,0.256,1,0,0,0.403105999983381,1
20,0.256,0,0,1,0.431299799995031,1
21,0.128,0,0,1,0.852581699989969,1
22,0.512,1,1,1,0.443709299986949,1
23,0,0,0,1,0.384035399998538,1
24,0.512,1,1,1,0.538002600020263,1
25,0.032,0,1,0,0.48083939999924,1
26,0.064,0,0,1,0.40886500000488,1
27,0.032,0,0,1,0.433132599981036,1
28,0.128,0,0,1,0.317892500024755,1
29,0.512,1,1,1,0.473272500006715,1
30,0,1,0,0,0.663553899998078,1
31,0.128,0,0,1,0.500414200010709,1
32,0.128,1,1,1,0.527625300019281,1
33,0.256,0,0,1,0.40249850001419,1
34,0.512,1,1,1,0.445156400004635,1
35,0.032,1,0,0,0.553524700022535,1
36,0.256,1,1,1,0.348419699992519,1
37,0,1,0,0,0.455744900013087,1
38,0.512,1,1,1,0.314799799991306,1
39,0,1,1,1,0.64255860002595,1
40,0.256,0,0,1,0.445770799997263,1
41,0.032,1,1,1,0.395748800016008,1
42,0.512,1,1,1,0.533269200008363,1
43,0,1,0,0,0.561943299981067,1
44,0.032,1,1,1,0.357447999995202,1
45,0.064,1,1,1,0.607970099983504,1
46,0,1,1,1,0.503826299973298,1
47,0.032,0,1,0,0.406245099991793,1
48,0.256,0,0,1,0.44569589997991,1
49,0.064,0,1,0,0.487902399996528,1
50,0.128,0,0,1,0.372481200000038,1
51,0.512,0,0,1,0.451640699990094,1
52,0.512,1,1,1,0.408113800018327,1
53,0.064,1,0,0,0.705919500003802,1
54,0.128,0,1,0,0.527977800025837,1
55,0.256,0,0,1,0.332068300020183,1
56,0.128,1,1,1,0.502183300006436,1
57,0,1,0,0,0.464496500004316,1
58,0.512,1,1,1,0.394967000000179,1
59,0.032,0,0,1,0.530161299975589,1
60,0.032,0,0,1,0.923382599983597,1
61,0.064,0,0,1,0.429751799994847,1
62,0.128,1,1,1,0.468052099982742,1
63,0.256,0,0,1,0.388277099991683,1
64,0.256,1,0,0,0.411914099997375,1
65,0.256,0,0,1,0.450668100005714,1
66,0.128,1,1,1,0.54192509999848,1
67,0.256,0,0,1,0.479582100000698,1
68,0.064,0,0,1,0.754881200002274,1
69,0.256,1,1,1,0.46524039999349,1
70,0,1,0,0,0.370379400003003,1
71,0.064,0,0,1,0.561778100003721,1
72,0.512,0,0,1,0.429362199996831,1
73,0.128,1,1,1,0.380090399994515,1
74,0.128,1,0,0,0.360436799994204,1
75,0.512,0,0,1,0.414050599996699,1
76,0.256,1,1,1,0.498740399983944,1
77,0.256,1,1,1,0.633666099980474,1
78,0,1,1,1,1.1720335999853,1
79,0.128,1,1,1,0.476845199998934,1
80,0.032,0,1,0,0.716677200020058,1
81,0.128,0,0,1,0.593819200003054,1
82,0.256,0,0,1,0.447808400000213,1
83,0.256,0,0,1,0.341129499982344,1
84,0.512,1,1,1,0.458363000012469,1
85,0.032,0,0,1,0.450703799986513,1
86,0,1,1,1,0.639907200005837,1
87,0.512,1,1,1,0.461463100014953,1
88,0.032,0,0,1,0.589740600000368,1
89,0,1,1,1,0.800837199989473,1
90,0.256,0,0,1,0.351718699996127,1
91,0,1,1,1,0.614074500015704,1
92,0.064,1,0,0,0.472035099985078,1
93,0,1,1,1,0.488727699994342,1
94,0.064,0,1,0,0.437749200005783,1
95,0,1,0,0,0.458297499979381,1
96,0.032,0,1,0,0.675280800001929,1
97,0.256,0,0,1,0.379656100005377,1
98,0.128,0,0,1,0.498365600011311,1
99,0.128,1,0,0,0.717798899975605,1
100,0.128,0,1,0,0.410185999993701,1
101,0.064,0,0,1,0.417740200005937,1
102,0.256,1,1,1,0.582128600013675,1
103,0.064,0,0,1,0.402162099984707,1
104,0.032,1,0,0,0.395482899999479,1
105,0,1,1,1,0.373141600022791,1
106,0,1,0,0,0.505775500001619,1
