num_trial,coh,direction,resp,status,RT,Completed
1,0.256,0,1,0,0.4870653,1
2,0.256,0,1,0,2.110233,1
3,0.512,1,1,1,1.673785,1
4,0.128,1,0,0,1.8062361,1
5,0.064,1,1,1,1.6060754,1
6,0.256,1,1,1,1.9393965,1
7,0.512,0,0,1,1.4055261,1
8,0,1,1,1,0.8404322,1
9,0.032,0,0,1,1.2050177,1
10,0.128,0,1,0,1.2055707,1
11,0,1,0,0,1.8051844,1
12,0.512,0,1,0,2.7385757,1
13,0,0,0,1,1.9396762,1
14,0.128,1,0,0,1.3055019,1
15,0.512,0,0,1,1.9719742,1
16,0.032,1,1,1,2.50526,1
17,0.032,1,1,1,2.2395599,1
18,0.256,0,1,0,1.8066711,1
19,0.064,1,0,0,1.2388362,1
20,0.032,0,1,0,1.672656,1
21,0.512,1,0,0,2.0728469,1
22,0.512,1,1,1,0.9723155,1
23,0,0,0,1,2.9737566,1
24,0.256,0,0,1,2.2060621,1
25,0.512,0,1,0,1.2051901,1
26,0.256,1,1,1,2.3716374,1
27,0.032,1,0,0,1.9068352,1
28,0,0,1,0,1.3721012,1
29,0,0,0,1,0.7730409,1
30,0.256,0,0,1,1.8396218,1
31,0.256,1,1,1,1.8721532,1
32,0,1,0,0,1.7730676,1
33,0.032,0,1,0,1.8398436,1
34,0.128,1,1,1,2.8057323,1
35,0.128,1,1,1,2.4051257,1
36,0.064,0,1,0,1.8390553,1
37,0.032,0,0,1,1.6399342,1
38,0,1,0,0,1.6057645,1
39,0.128,1,1,1,1.6720723,1
40,0.032,0,1,0,1.571992,1
41,0.128,0,0,1,1.5054669,1
42,0.032,1,0,0,2.4052724,1
43,0,0,1,0,1.0392688,1
44,0.128,1,0,0,2.871796,1
45,0.256,0,1,0,2.8720706,1
46,0.032,0,0,1,2.3382549,1
47,0.128,0,0,1,1.8732225,1
48,0.512,0,0,1,1.1052648,1
49,0,0,1,0,2.0391204,1
50,0.064,0,0,1,2.0723186,1
51,0.512,0,0,1,1.1385721,1
52,0.128,1,0,0,1.9719955,1
53,0,1,1,1,1.7387141,1
54,0.032,1,1,1,0.9051978,1
55,0.512,1,1,1,0.8715284,1
56,0.064,0,1,0,2.605355,1
57,0.064,1,0,0,2.1049494,1
58,0.032,1,0,0,2.2723263,1
59,0.128,0,1,0,1.5060374,1
60,0.512,0,0,1,1.1395879,1
61,0.032,1,1,1,3.339681,1
62,0.064,0,0,1,3.5381909,1
63,0.064,1,1,1,2.6730051,1
64,0.128,0,0,1,1.0052055,1
65,0.256,0,0,1,2.1054859,1
66,0.512,1,1,1,1.2061808,1
67,0.512,1,1,1,0.7724009,1
68,0,1,1,1,1.3725413,1
69,0,1,1,1,1.3722033,1
70,0.064,1,1,1,0.8054581,1
71,0.064,0,1,0,0.7728765,1
72,0.128,1,1,1,1.1394794,1
73,0.064,1,1,1,0.9716792,1
74,0.064,1,1,1,1.0394159,1
75,0.256,0,0,1,0.8721047,1
76,0,1,1,1,1.1713456,1
77,0.032,0,0,1,0.6379877,1
78,0.064,1,1,1,0.6724267,1
79,0.032,0,0,1,0.505599,1
80,0,0,1,0,0.6389336,1
81,0,1,0,0,0.6058424,1
82,0.512,1,1,1,1.9398473,1
83,0.032,1,1,1,1.8735952,1
84,0,0,1,0,1.672728,1
85,0.064,1,0,0,0.8723789,1
86,0,1,1,1,1.5385337,1
87,0.064,1,1,1,1.1721615,1
88,0.064,0,0,1,2.9060153,1
89,0.032,0,0,1,2.1379978,1
90,0.256,0,0,1,1.1718979,1
91,0.256,0,0,1,1.6718566,1
92,0.512,0,0,1,0.9403919,1
93,0.128,1,1,1,1.5720994,1
94,0,0,0,1,1.6733536,1
95,0.256,1,1,1,2.1384752,1
96,0.064,0,0,1,1.5728979,1
97,0.032,0,0,1,1.2393156,1
98,0,0,1,0,3.0052486,1
99,0.512,1,1,1,1.2734874,1
100,0.512,1,1,1,0.6386357,1
101,0.064,1,1,1,2.0380428,1
102,0.032,0,1,0,1.938717,1
103,0.064,1,0,0,0.9056533,1
104,0.128,1,1,1,1.8392858,1
105,0.064,0,1,0,1.2051669,1
106,0.256,1,0,0,0.5056761,1
107,0,0,1,0,0.8722493,1
108,0.032,0,0,1,1.071775,1
109,0.128,1,1,1,2.1060345,1
110,0.512,1,1,1,0.7724699,1
111,0.032,1,1,1,1.27389,1
112,0.064,0,1,0,1.0385919,1
113,0,0,0,1,0.9393226,1
114,0.256,0,1,0,2.4715447,1
115,0.256,0,0,1,1.2065255,1
116,0.256,0,0,1,1.8392093,1
117,0.256,0,0,1,2.6055247,1
118,0.032,0,0,1,1.8389267,1
119,0.128,1,1,1,1.7720692,1
120,0.032,1,1,1,0.8381626,1
121,0.128,0,1,0,1.3719672,1
122,0.256,0,0,1,0.772122,1
123,0,1,0,0,1.1723089,1
124,0.128,0,1,0,1.672252,1
125,0.032,1,1,1,2.6385963,1
126,0.256,1,1,1,1.60561,1
127,0.256,0,0,1,1.6394065,1
128,0.032,0,0,1,1.3734501,1
129,0.064,0,0,1,0.9720891,1
130,0.512,1,1,1,1.0725095,1
131,0.512,1,1,1,0.8050642,1
132,0,0,1,0,1.305244,1
133,0,0,0,1,1.1052029,1
134,0.256,1,1,1,1.7390227,1
135,0.512,1,1,1,0.7719999,1
136,0.256,1,1,1,1.072362,1
137,0.128,0,1,0,1.4715266,1
138,0.128,1,1,1,2.8397672,1
139,0.064,1,1,1,1.7047479,1
140,0.064,1,1,1,1.1736574,1
141,0,1,1,1,1.0730379,1
142,0.032,1,1,1,0.939069,1
143,0.128,1,1,1,0.8051423,1
144,0.128,1,1,1,0.6387119,1
145,0.032,0,1,0,0.5382319,1
146,0.256,0,0,1,0.6718295,1
147,0.032,0,1,0,1.9051668,1
148,0,1,0,0,0.4379866,1
149,0.128,1,1,1,1.7721645,1
150,0.512,0,0,1,2.4719682,1
151,0.256,0,0,1,1.7388997,1
152,0.032,1,0,0,2.3719628,1
153,0.512,0,0,1,0.9715853,1
154,0.256,1,0,0,1.8054411,1
155,0.128,1,1,1,2.1049149,1
156,0.512,1,1,1,1.0399876,1
157,0.512,1,1,1,1.0059463,1
158,0.256,0,0,1,0.772876,1
159,0.128,1,1,1,1.6391958,1
160,0,0,0,1,2.1382855,1
161,0,1,0,0,1.8388402,1
162,0.512,1,1,1,1.0399017,1
163,0.128,0,1,0,1.238934,1
164,0.064,1,0,0,0.7047382,1
165,0.512,0,0,1,1.1379647,1
166,0,1,0,0,2.2055003,1
167,0.256,1,1,1,0.7052754,1
168,0.128,0,0,1,1.5389402,1
169,0.256,1,1,1,0.940001,1
170,0.064,1,1,1,2.5051556,1
171,0.256,0,0,1,1.0383696,1
172,0.128,1,1,1,0.8383137,1
173,0.512,0,0,1,0.5732696,1
174,0.064,0,1,0,0.9391804,1
175,0.032,0,0,1,0.5397478,1
176,0.512,0,0,1,0.738833,1
177,0.128,0,0,1,2.1732375,1
178,0,0,0,1,1.5387585,1
179,0,0,0,1,1.2731685,1
180,0.064,0,0,1,1.1067591,1
181,0.256,1,1,1,1.105765,1
182,0.032,0,1,0,3.1388661,1
183,0.512,0,0,1,0.6725758,1
184,0.512,1,1,1,0.9046288,1
185,0.064,1,0,0,1.6394436,1
186,0,0,1,0,1.1742092,1
187,0.128,1,0,0,1.2078609,1
188,0.064,1,1,1,1.2058119,1
189,0.032,0,1,0,0.7398112,1
190,0.128,1,0,0,1.9054878,1
191,0.064,1,1,1,1.7380461,1
192,0.256,0,0,1,1.171991,1
193,0.032,0,1,0,2.1404361,1
194,0.128,1,0,0,1.704692,1
195,0.064,0,1,0,1.4725439,1
196,0.256,0,0,1,2.4395579,1
197,0,0,0,1,3.671497,1
198,0.512,0,0,1,0.8723534,1
199,0.032,1,0,0,3.5058932,1
200,0.128,0,1,0,2.5729829,1
201,0.512,0,0,1,0.8053433,1
202,0.064,1,0,0,1.7728083,1
203,0.064,1,1,1,0.5381746,1
204,0.512,1,1,1,0.8389809,1
