num_trial,coh,direction,resp,status,RT,Completed
1,0.064,0,1,0,1.03873299999395,1
2,0.256,1,1,1,0.678046099987114,1
3,0.128,0,0,1,0.745772599999327,1
4,0.256,1,1,1,0.647326299978886,1
5,0.064,0,0,1,0.600916000024881,1
6,0.064,1,1,1,0.65309169999091,1
7,0,1,0,0,0.611327199992957,1
8,0.064,1,1,1,0.429921300004935,1
9,0,1,0,0,0.857006800011732,1
10,0.512,0,0,1,0.48918869998306,1
11,0.128,1,1,1,0.421232599997893,1
12,0.128,1,1,1,0.44944920000853,1
13,0.032,0,1,0,0.63686840000446,1
14,0.256,1,1,1,0.544845600001281,1
15,0.064,0,1,0,0.764219800010324,1
16,0.064,1,1,1,0.572125900012907,1
17,0.032,1,0,0,0.580243100004736,1
18,0.128,1,1,1,0.371963700017659,1
19,0.256,0,0,1,0.48295799997868,1
20,0.032,1,0,0,0.768622200004756,1
21,0.064,1,1,1,0.453303399990546,1
22,0.128,0,0,1,0.543602699995972,1
23,0.064,0,0,1,0.518223999999464,1
24,0.128,0,0,1,0.940365599992219,1
25,0.512,1,1,1,0.433976600004826,1
26,0.256,1,1,1,0.827581399993505,1
27,0.064,1,1,1,0.736429200012935,1
28,0.032,0,1,0,0.472356799989939,1
29,0.128,1,0,0,0.438764699996682,1
30,0.256,1,1,1,0.417507999984082,1
31,0.032,1,0,0,0.789091200014809,1
32,0.128,0,1,0,0.331139000016265,1
33,0.128,0,0,1,0.625694399990607,1
34,0.512,0,0,1,0.42656610000995,1
35,0.032,1,1,1,0.651308700005757,1
36,0.064,1,0,0,0.557292000012239,1
37,0.512,0,0,1,0.415147899999283,1
38,0.064,0,1,0,0.650633199984441,1
39,0.032,0,0,1,0.337935399991693,1
40,0,1,0,0,0.420290000009118,1
41,0,1,1,1,0.406310199992731,1
42,0,1,0,0,0.781407099973876,1
43,0,0,0,1,0.529969800001709,1
44,0,1,1,1,0.5268412999867,1
45,0,0,1,0,0.564427400007844,1
46,0.032,1,0,0,0.505585000006249,1
47,0,1,1,1,0.588379099994199,1
48,0.512,1,1,1,0.432206299999962,1
49,0.128,1,1,1,0.866609999997308,1
50,0,1,0,0,0.617073800007347,1
51,0.256,1,1,1,0.432675899995957,1
52,0,1,1,1,0.667308599979151,1
53,0.256,1,1,1,0.414749499992467,1
54,0.064,1,1,1,0.728400599997258,1
55,0.128,0,0,1,0.591012900025817,1
56,0.256,0,0,1,0.589090599998599,1
57,0.512,0,0,1,0.417876999999862,1
58,0.064,0,1,0,0.721161499997834,1
59,0.032,1,0,0,0.570642299979227,1
60,0.512,1,1,1,0.376781600003596,1
61,0.256,0,0,1,0.449742299999343,1
62,0,0,1,0,0.395227100001648,1
63,0.256,0,0,1,0.340023900003871,1
64,0.512,0,0,1,0.394094499992207,1
65,0.512,0,0,1,0.297800800006371,1
66,0,1,0,0,0.268896299996413,1
67,0.064,1,1,1,0.386956900008954,1
68,0.064,0,1,0,0.538980699988315,1
69,0.064,1,0,0,0.674564699991606,1
70,0.064,1,1,1,0.594748200004688,1
71,0.256,1,1,1,0.536117300012847,1
72,0.128,1,0,0,0.706432800012408,1
73,0.128,1,1,1,0.373140299983788,1
74,0.256,0,0,1,0.525559900008375,1
75,0,0,0,1,0.516352400009055,1
