num_trial,coh,direction,resp,status,RT,Completed
1,0.512,0,0,1,0.6705052999896,1
2,0.256,1,1,1,1.24276180000743,1
3,0.128,1,1,1,1.62271169997985,1
4,0,1,1,1,0.948735699988902,1
5,0,1,0,0,0.71473419998074,1
6,0.064,1,1,1,1.11629239999456,1
7,0.512,0,0,1,0.924719899980118,1
8,0.512,0,0,1,1.17125169999781,1
9,0.512,1,1,1,0.919516000023577,1
10,0.512,0,0,1,0.911974600021495,1
11,0.128,1,1,1,1.34499739998137,1
12,0.064,1,1,1,1.103173600015,1
13,0.032,1,1,1,1.31655610000598,1
14,0.032,0,0,1,1.24835469998652,1
15,0.032,1,1,1,1.11485469999025,1
16,0.128,0,0,1,1.25821649999125,1
17,0.032,0,1,0,1.34731819998706,1
18,0.256,0,0,1,0.945858199993381,1
19,0.256,0,0,1,0.79390049999347,1
20,0.512,0,0,1,0.691528099996503,1
21,0.512,0,0,1,1.14223570001195,1
22,0.032,1,0,0,1.09713219999685,1
23,0.512,0,0,1,0.958441599999787,1
24,0.256,1,1,1,0.848781700013205,1
25,0.256,0,0,1,0.899913500004914,1
26,0.128,1,1,1,1.06079210000462,1
27,0,0,0,1,0.923406799993245,1
28,0.512,0,0,1,0.970804200012935,1
29,0.032,1,1,1,1.33212850001291,1
30,0.512,1,1,1,1.0440615999978,1
31,0.128,0,0,1,1.05595609999727,1
32,0.256,0,0,1,0.977499500004342,1
33,0.064,1,0,0,1.00816199998371,1
34,0.256,0,0,1,0.652490900014527,1
35,0.032,0,1,0,1.08709919999819,1
36,0.256,1,1,1,1.07934650001698,1
37,0.032,0,1,0,1.420111000014,1
38,0.032,0,0,1,0.565334800019627,1
39,0.064,0,0,1,0.862087800021982,1
40,0.064,1,0,0,0.960662899975432,1
41,0.512,1,1,1,0.841924599983031,1
42,0.064,1,1,1,0.984468599985121,1
43,0.128,0,0,1,0.95898599998327,1
44,0,0,1,0,0.855773599992972,1
45,0.064,1,0,0,0.813329700002214,1
46,0.064,0,1,0,1.42172680000658,1
47,0.512,1,1,1,0.748816100007389,1
48,0.064,0,0,1,1.16689210000914,1
49,0.032,1,0,0,0.692431000003126,1
50,0,1,1,1,1.96814529999392,1
51,0.256,1,1,1,0.718935599987162,1
52,0,0,1,0,0.93374850001419,1
53,0.128,1,1,1,1.54529629999888,1
54,0,1,1,1,1.05088709999109,1
55,0.064,1,1,1,1.07348810002441,1
56,0,0,1,0,1.53767680001329,1
57,0.256,1,1,1,0.96779249998508,1
58,0.256,0,0,1,0.894272900011856,1
59,0,1,0,0,1.92303659999743,1
60,0.064,0,1,0,1.71869900001911,1
61,0.512,0,0,1,0.615869100001873,1
62,0.128,0,0,1,1.04223309998633,1
63,0.064,0,0,1,1.1953375999874,1
64,0.512,1,1,1,0.657028400019044,1
65,0.512,0,0,1,0.614243000018178,1
66,0.256,1,1,1,1.00534249999328,1
67,0.032,0,0,1,0.495881999988342,1
68,0.128,1,1,1,0.897049599996535,1
69,0.128,1,1,1,1.02445799999987,1
70,0.032,1,1,1,1.03534709999803,1
71,0.128,1,1,1,0.745348500000546,1
72,0.256,1,1,1,1.06771689999732,1
73,0.032,0,0,1,0.99423179999576,1
74,0.256,1,1,1,0.758224999997765,1
75,0.064,1,0,0,0.587802599999122,1
76,0.512,1,1,1,0.547362699988298,1
77,0.128,0,0,1,0.895520599995507,1
78,0.064,1,1,1,0.732990699994843,1
79,0.128,0,1,0,1.3254507999809,1
80,0.128,1,1,1,1.80715509998845,1
81,0.512,0,0,1,0.660986000002595,1
82,0.064,1,1,1,0.999587999976939,1
83,0,1,0,0,1.39181299999473,1
84,0.128,0,1,0,0.599571200000355,1
85,0,0,0,1,1.02968089998467,1
86,0.064,1,1,1,2.14124149997951,1
87,0.256,0,0,1,1.02358949999325,1
88,0,0,1,0,1.82841069999267,1
89,0.064,0,0,1,0.945090399996843,1
90,0.512,1,1,1,0.845240399998147,1
91,0.128,0,0,1,0.918819800019264,1
92,0.064,1,1,1,1.06449900000007,1
